Date,Brand,Search Volume Index
2019-03-09,Louis Vuitton,18
2019-03-09,Chanel,18
2019-03-10,Gucci,28
2019-03-10,Dior,73
2019-03-10,Rolex,32
2019-03-10,Louis Vuitton,91
2019-03-10,Chanel,93
2019-03-11,Gucci,20
2019-03-11,Dior,61
2019-03-11,Rolex,32
2019-03-11,Louis Vuitton,90
2019-03-11,Chanel,49
2019-03-12,Gucci,93
2019-03-12,Dior,91
2019-03-12,Rolex,33
2019-03-12,Louis Vuitton,28
2019-03-12,Chanel,13
2019-03-13,Gucci,51
2019-03-13,Dior,94
2019-03-13,Rolex,37
2019-03-13,Louis Vuitton,94
2019-03-13,Chanel,64
2019-03-14,Gucci,44
2019-03-14,Dior,93
2019-03-14,Rolex,82
2019-03-14,Louis Vuitton,18
2019-03-14,Chanel,94
2019-03-15,Gucci,17
2019-03-15,Dior,54
2019-03-15,Rolex,50
2019-03-15,Louis Vuitton,28
2019-03-15,Chanel,10
2019-03-16,Gucci,39
2019-03-16,Dior,73
2019-03-16,Rolex,47
2019-03-16,Louis Vuitton,83
2019-03-16,Chanel,75
2019-03-17,Gucci,50
2019-03-17,Dior,74
2019-03-17,Rolex,84
2019-03-17,Louis Vuitton,29
2019-03-17,Chanel,94
2019-03-18,Gucci,34
2019-03-18,Dior,30
2019-03-18,Rolex,71
2019-03-18,Louis Vuitton,57
2019-03-18,Chanel,56
2019-03-19,Gucci,96
2019-03-19,Dior,58
2019-03-19,Rolex,70
2019-03-19,Louis Vuitton,11
2019-03-19,Chanel,81
2019-03-20,Gucci,12
2019-03-20,Dior,66
2019-03-20,Rolex,29
2019-03-20,Louis Vuitton,92
2019-03-20,Chanel,97
2019-03-21,Gucci,85
2019-03-21,Dior,46
2019-03-21,Rolex,78
2019-03-21,Louis Vuitton,77
2019-03-21,Chanel,74
2019-03-22,Gucci,48
2019-03-22,Dior,92
2019-03-22,Rolex,49
2019-03-22,Louis Vuitton,15
2019-03-22,Chanel,92
2019-03-23,Gucci,81
2019-03-23,Dior,61
2019-03-23,Rolex,32
2019-03-23,Louis Vuitton,10
2019-03-23,Chanel,74
2019-03-24,Gucci,47
2019-03-24,Dior,80
2019-03-24,Rolex,50
2019-03-24,Louis Vuitton,15
2019-03-24,Chanel,84
2019-03-25,Gucci,47
2019-03-25,Dior,72
2019-03-25,Rolex,83
2019-03-25,Louis Vuitton,51
2019-03-25,Chanel,15
2019-03-26,Gucci,89
2019-03-26,Dior,91
2019-03-26,Rolex,74
2019-03-26,Louis Vuitton,59
2019-03-26,Chanel,65
2019-03-27,Gucci,24
2019-03-27,Dior,99
2019-03-27,Rolex,86
2019-03-27,Louis Vuitton,53
2019-03-27,Chanel,73
2019-03-28,Gucci,96
2019-03-28,Dior,48
2019-03-28,Rolex,87
2019-03-28,Louis Vuitton,70
2019-03-28,Chanel,57
2019-03-29,Gucci,75
2019-03-29,Dior,53
2019-03-29,Rolex,56
2019-03-29,Louis Vuitton,64
2019-03-29,Chanel,87
2019-03-30,Gucci,11
2019-03-30,Dior,37
2019-03-30,Rolex,80
2019-03-30,Louis Vuitton,24
2019-03-30,Chanel,63
2019-03-31,Gucci,42
2019-03-31,Dior,20
2019-03-31,Rolex,14
2019-03-31,Louis Vuitton,61
2019-03-31,Chanel,13
2019-04-01,Gucci,37
2019-04-01,Dior,95
2019-04-01,Rolex,62
2019-04-01,Louis Vuitton,41
2019-04-01,Chanel,18
2019-04-02,Gucci,98
2019-04-02,Dior,26
2019-04-02,Rolex,88
2019-04-02,Louis Vuitton,62
2019-04-02,Chanel,33
2019-04-03,Gucci,92
2019-04-03,Dior,88
2019-04-03,Rolex,94
2019-04-03,Louis Vuitton,79
2019-04-03,Chanel,19
2019-04-04,Gucci,41
2019-04-04,Dior,57
2019-04-04,Rolex,90
2019-04-04,Louis Vuitton,55
2019-04-04,Chanel,66
2019-04-05,Gucci,72
2019-04-05,Dior,66
2019-04-05,Rolex,43
2019-04-05,Louis Vuitton,99
2019-04-05,Chanel,45
2019-04-06,Gucci,89
2019-04-06,Dior,97
2019-04-06,Rolex,32
2019-04-06,Louis Vuitton,74
2019-04-06,Chanel,60
2019-04-07,Gucci,90
2019-04-07,Dior,25
2019-04-07,Rolex,34
2019-04-07,Louis Vuitton,47
2019-04-07,Chanel,79
2019-04-08,Gucci,92
2019-04-08,Dior,41
2019-04-08,Rolex,92
2019-04-08,Louis Vuitton,19
2019-04-08,Chanel,14
2019-04-09,Gucci,16
2019-04-09,Dior,35
2019-04-09,Rolex,90
2019-04-09,Louis Vuitton,39
2019-04-09,Chanel,27
2019-04-10,Gucci,97
2019-04-10,Dior,64
2019-04-10,Rolex,34
2019-04-10,Louis Vuitton,42
2019-04-10,Chanel,42
2019-04-11,Gucci,99
2019-04-11,Dior,93
2019-04-11,Rolex,17
2019-04-11,Louis Vuitton,42
2019-04-11,Chanel,21
2019-04-12,Gucci,86
2019-04-12,Dior,49
2019-04-12,Rolex,55
2019-04-12,Louis Vuitton,96
2019-04-12,Chanel,74
2019-04-13,Gucci,66
2019-04-13,Dior,26
2019-04-13,Rolex,13
2019-04-13,Louis Vuitton,88
2019-04-13,Chanel,70
2019-04-14,Gucci,74
2019-04-14,Dior,65
2019-04-14,Rolex,37
2019-04-14,Louis Vuitton,39
2019-04-14,Chanel,20
2019-04-15,Gucci,62
2019-04-15,Dior,31
2019-04-15,Rolex,64
2019-04-15,Louis Vuitton,41
2019-04-15,Chanel,95
2019-04-16,Gucci,10
2019-04-16,Dior,78
2019-04-16,Rolex,39
2019-04-16,Louis Vuitton,56
2019-04-16,Chanel,50
2019-04-17,Gucci,86
2019-04-17,Dior,44
2019-04-17,Rolex,79
2019-04-17,Louis Vuitton,92
2019-04-17,Chanel,98
2019-04-18,Gucci,21
2019-04-18,Dior,48
2019-04-18,Rolex,86
2019-04-18,Louis Vuitton,40
2019-04-18,Chanel,28
2019-04-19,Gucci,35
2019-04-19,Dior,53
2019-04-19,Rolex,57
2019-04-19,Louis Vuitton,55
2019-04-19,Chanel,49
2019-04-20,Gucci,62
2019-04-20,Dior,32
2019-04-20,Rolex,59
2019-04-20,Louis Vuitton,60
2019-04-20,Chanel,38
2019-04-21,Gucci,76
2019-04-21,Dior,40
2019-04-21,Rolex,39
2019-04-21,Louis Vuitton,41
2019-04-21,Chanel,81
2019-04-22,Gucci,31
2019-04-22,Dior,42
2019-04-22,Rolex,46
2019-04-22,Louis Vuitton,31
2019-04-22,Chanel,19
2019-04-23,Gucci,44
2019-04-23,Dior,32
2019-04-23,Rolex,68
2019-04-23,Louis Vuitton,39
2019-04-23,Chanel,77
2019-04-24,Gucci,98
2019-04-24,Dior,90
2019-04-24,Rolex,51
2019-04-24,Louis Vuitton,63
2019-04-24,Chanel,99
2019-04-25,Gucci,37
2019-04-25,Dior,18
2019-04-25,Rolex,64
2019-04-25,Louis Vuitton,27
2019-04-25,Chanel,36
2019-04-26,Gucci,60
2019-04-26,Dior,33
2019-04-26,Rolex,42
2019-04-26,Louis Vuitton,93
2019-04-26,Chanel,31
2019-04-27,Gucci,42
2019-04-27,Dior,61
2019-04-27,Rolex,80
2019-04-27,Louis Vuitton,22
2019-04-27,Chanel,27
2019-04-28,Gucci,14
2019-04-28,Dior,59
2019-04-28,Rolex,93
2019-04-28,Louis Vuitton,20
2019-04-28,Chanel,37
2019-04-29,Gucci,89
2019-04-29,Dior,66
2019-04-29,Rolex,61
2019-04-29,Louis Vuitton,81
2019-04-29,Chanel,38
2019-04-30,Gucci,25
2019-04-30,Dior,93
2019-04-30,Rolex,90
2019-04-30,Louis Vuitton,20
2019-04-30,Chanel,27
2019-05-01,Gucci,71
2019-05-01,Dior,50
2019-05-01,Rolex,25
2019-05-01,Louis Vuitton,11
2019-05-01,Chanel,54
2019-05-02,Gucci,58
2019-05-02,Dior,13
2019-05-02,Rolex,39
2019-05-02,Louis Vuitton,83
2019-05-02,Chanel,94
2019-05-03,Gucci,22
2019-05-03,Dior,20
2019-05-03,Rolex,93
2019-05-03,Louis Vuitton,72
2019-05-03,Chanel,76
2019-05-04,Gucci,40
2019-05-04,Dior,67
2019-05-04,Rolex,50
2019-05-04,Louis Vuitton,76
2019-05-04,Chanel,46
2019-05-05,Gucci,95
2019-05-05,Dior,73
2019-05-05,Rolex,54
2019-05-05,Louis Vuitton,49
2019-05-05,Chanel,50
2019-05-06,Gucci,25
2019-05-06,Dior,96
2019-05-06,Rolex,65
2019-05-06,Louis Vuitton,51
2019-05-06,Chanel,96
2019-05-07,Gucci,99
2019-05-07,Dior,57
2019-05-07,Rolex,19
2019-05-07,Louis Vuitton,47
2019-05-07,Chanel,88
2019-05-08,Gucci,57
2019-05-08,Dior,35
2019-05-08,Rolex,57
2019-05-08,Louis Vuitton,84
2019-05-08,Chanel,79
2019-05-09,Gucci,17
2019-05-09,Dior,88
2019-05-09,Rolex,64
2019-05-09,Louis Vuitton,34
2019-05-09,Chanel,74
2019-05-10,Gucci,32
2019-05-10,Dior,59
2019-05-10,Rolex,31
2019-05-10,Louis Vuitton,27
2019-05-10,Chanel,64
2019-05-11,Gucci,67
2019-05-11,Dior,40
2019-05-11,Rolex,50
2019-05-11,Louis Vuitton,18
2019-05-11,Chanel,34
2019-05-12,Gucci,82
2019-05-12,Dior,61
2019-05-12,Rolex,79
2019-05-12,Louis Vuitton,20
2019-05-12,Chanel,87
2019-05-13,Gucci,15
2019-05-13,Dior,76
2019-05-13,Rolex,33
2019-05-13,Louis Vuitton,79
2019-05-13,Chanel,49
2019-05-14,Gucci,83
2019-05-14,Dior,47
2019-05-14,Rolex,77
2019-05-14,Louis Vuitton,22
2019-05-14,Chanel,49
2019-05-15,Gucci,46
2019-05-15,Dior,87
2019-05-15,Rolex,79
2019-05-15,Louis Vuitton,68
2019-05-15,Chanel,88
2019-05-16,Gucci,75
2019-05-16,Dior,37
2019-05-16,Rolex,93
2019-05-16,Louis Vuitton,53
2019-05-16,Chanel,66
2019-05-17,Gucci,78
2019-05-17,Dior,65
2019-05-17,Rolex,67
2019-05-17,Louis Vuitton,20
2019-05-17,Chanel,23
2019-05-18,Gucci,48
2019-05-18,Dior,82
2019-05-18,Rolex,23
2019-05-18,Louis Vuitton,46
2019-05-18,Chanel,28
2019-05-19,Gucci,77
2019-05-19,Dior,42
2019-05-19,Rolex,85
2019-05-19,Louis Vuitton,39
2019-05-19,Chanel,29
2019-05-20,Gucci,24
2019-05-20,Dior,64
2019-05-20,Rolex,42
2019-05-20,Louis Vuitton,45
2019-05-20,Chanel,95
2019-05-21,Gucci,98
2019-05-21,Dior,62
2019-05-21,Rolex,90
2019-05-21,Louis Vuitton,50
2019-05-21,Chanel,35
2019-05-22,Gucci,93
2019-05-22,Dior,57
2019-05-22,Rolex,22
2019-05-22,Louis Vuitton,88
2019-05-22,Chanel,79
2019-05-23,Gucci,10
2019-05-23,Dior,79
2019-05-23,Rolex,55
2019-05-23,Louis Vuitton,24
2019-05-23,Chanel,59
2019-05-24,Gucci,96
2019-05-24,Dior,40
2019-05-24,Rolex,70
2019-05-24,Louis Vuitton,95
2019-05-24,Chanel,59
2019-05-25,Gucci,89
2019-05-25,Dior,33
2019-05-25,Rolex,76
2019-05-25,Louis Vuitton,13
2019-05-25,Chanel,91
2019-05-26,Gucci,57
2019-05-26,Dior,60
2019-05-26,Rolex,72
2019-05-26,Louis Vuitton,12
2019-05-26,Chanel,92
2019-05-27,Gucci,83
2019-05-27,Dior,44
2019-05-27,Rolex,25
2019-05-27,Louis Vuitton,76
2019-05-27,Chanel,42
2019-05-28,Gucci,26
2019-05-28,Dior,14
2019-05-28,Rolex,74
2019-05-28,Louis Vuitton,94
2019-05-28,Chanel,35
2019-05-29,Gucci,52
2019-05-29,Dior,77
2019-05-29,Rolex,55
2019-05-29,Louis Vuitton,48
2019-05-29,Chanel,29
2019-05-30,Gucci,16
2019-05-30,Dior,49
2019-05-30,Rolex,60
2019-05-30,Louis Vuitton,31
2019-05-30,Chanel,62
2019-05-31,Gucci,33
2019-05-31,Dior,37
2019-05-31,Rolex,62
2019-05-31,Louis Vuitton,63
2019-05-31,Chanel,75
2019-06-01,Gucci,26
2019-06-01,Dior,93
2019-06-01,Rolex,78
2019-06-01,Louis Vuitton,58
2019-06-01,Chanel,49
2019-06-02,Gucci,31
2019-06-02,Dior,83
2019-06-02,Rolex,67
2019-06-02,Louis Vuitton,99
2019-06-02,Chanel,98
2019-06-03,Gucci,37
2019-06-03,Dior,74
2019-06-03,Rolex,14
2019-06-03,Louis Vuitton,39
2019-06-03,Chanel,71
2019-06-04,Gucci,73
2019-06-04,Dior,72
2019-06-04,Rolex,60
2019-06-04,Louis Vuitton,45
2019-06-04,Chanel,75
2019-06-05,Gucci,15
2019-06-05,Dior,42
2019-06-05,Rolex,41
2019-06-05,Louis Vuitton,52
2019-06-05,Chanel,43
2019-06-06,Gucci,25
2019-06-06,Dior,54
2019-06-06,Rolex,59
2019-06-06,Louis Vuitton,41
2019-06-06,Chanel,45
2019-06-07,Gucci,51
2019-06-07,Dior,48
2019-06-07,Rolex,37
2019-06-07,Louis Vuitton,50
2019-06-07,Chanel,48
2019-06-08,Gucci,84
2019-06-08,Dior,66
2019-06-08,Rolex,40
2019-06-08,Louis Vuitton,43
2019-06-08,Chanel,69
2019-06-09,Gucci,96
2019-06-09,Dior,48
2019-06-09,Rolex,97
2019-06-09,Louis Vuitton,82
2019-06-09,Chanel,61
2019-06-10,Gucci,45
2019-06-10,Dior,46
2019-06-10,Rolex,16
2019-06-10,Louis Vuitton,21
2019-06-10,Chanel,79
2019-06-11,Gucci,69
2019-06-11,Dior,99
2019-06-11,Rolex,47
2019-06-11,Louis Vuitton,59
2019-06-11,Chanel,77
2019-06-12,Gucci,96
2019-06-12,Dior,42
2019-06-12,Rolex,76
2019-06-12,Louis Vuitton,21
2019-06-12,Chanel,17
2019-06-13,Gucci,76
2019-06-13,Dior,18
2019-06-13,Rolex,33
2019-06-13,Louis Vuitton,67
2019-06-13,Chanel,24
2019-06-14,Gucci,25
2019-06-14,Dior,19
2019-06-14,Rolex,21
2019-06-14,Louis Vuitton,90
2019-06-14,Chanel,65
2019-06-15,Gucci,81
2019-06-15,Dior,57
2019-06-15,Rolex,41
2019-06-15,Louis Vuitton,68
2019-06-15,Chanel,19
2019-06-16,Gucci,50
2019-06-16,Dior,88
2019-06-16,Rolex,78
2019-06-16,Louis Vuitton,60
2019-06-16,Chanel,15
2019-06-17,Gucci,47
2019-06-17,Dior,16
2019-06-17,Rolex,34
2019-06-17,Louis Vuitton,88
2019-06-17,Chanel,84
2019-06-18,Gucci,41
2019-06-18,Dior,28
2019-06-18,Rolex,73
2019-06-18,Louis Vuitton,26
2019-06-18,Chanel,35
2019-06-19,Gucci,21
2019-06-19,Dior,92
2019-06-19,Rolex,93
2019-06-19,Louis Vuitton,32
2019-06-19,Chanel,37
2019-06-20,Gucci,15
2019-06-20,Dior,87
2019-06-20,Rolex,63
2019-06-20,Louis Vuitton,33
2019-06-20,Chanel,55
2019-06-21,Gucci,20
2019-06-21,Dior,87
2019-06-21,Rolex,30
2019-06-21,Louis Vuitton,19
2019-06-21,Chanel,19
2019-06-22,Gucci,34
2019-06-22,Dior,91
2019-06-22,Rolex,90
2019-06-22,Louis Vuitton,19
2019-06-22,Chanel,11
2019-06-23,Gucci,50
2019-06-23,Dior,36
2019-06-23,Rolex,91
2019-06-23,Louis Vuitton,22
2019-06-23,Chanel,93
2019-06-24,Gucci,35
2019-06-24,Dior,93
2019-06-24,Rolex,20
2019-06-24,Louis Vuitton,94
2019-06-24,Chanel,74
2019-06-25,Gucci,22
2019-06-25,Dior,14
2019-06-25,Rolex,77
2019-06-25,Louis Vuitton,70
2019-06-25,Chanel,35
2019-06-26,Gucci,76
2019-06-26,Dior,10
2019-06-26,Rolex,44
2019-06-26,Louis Vuitton,41
2019-06-26,Chanel,69
2019-06-27,Gucci,80
2019-06-27,Dior,95
2019-06-27,Rolex,85
2019-06-27,Louis Vuitton,31
2019-06-27,Chanel,68
2019-06-28,Gucci,32
2019-06-28,Dior,90
2019-06-28,Rolex,18
2019-06-28,Louis Vuitton,99
2019-06-28,Chanel,67
2019-06-29,Gucci,82
2019-06-29,Dior,96
2019-06-29,Rolex,18
2019-06-29,Louis Vuitton,51
2019-06-29,Chanel,62
2019-06-30,Gucci,51
2019-06-30,Dior,87
2019-06-30,Rolex,38
2019-06-30,Louis Vuitton,59
2019-06-30,Chanel,35
2019-07-01,Gucci,97
2019-07-01,Dior,75
2019-07-01,Rolex,20
2019-07-01,Louis Vuitton,74
2019-07-01,Chanel,83
2019-07-02,Gucci,48
2019-07-02,Dior,13
2019-07-02,Rolex,96
2019-07-02,Louis Vuitton,63
2019-07-02,Chanel,25
2019-07-03,Gucci,97
2019-07-03,Dior,87
2019-07-03,Rolex,34
2019-07-03,Louis Vuitton,37
2019-07-03,Chanel,36
2019-07-04,Gucci,90
2019-07-04,Dior,70
2019-07-04,Rolex,73
2019-07-04,Louis Vuitton,55
2019-07-04,Chanel,17
2019-07-05,Gucci,36
2019-07-05,Dior,62
2019-07-05,Rolex,54
2019-07-05,Louis Vuitton,70
2019-07-05,Chanel,57
2019-07-06,Gucci,89
2019-07-06,Dior,76
2019-07-06,Rolex,17
2019-07-06,Louis Vuitton,12
2019-07-06,Chanel,76
2019-07-07,Gucci,88
2019-07-07,Dior,51
2019-07-07,Rolex,57
2019-07-07,Louis Vuitton,42
2019-07-07,Chanel,15
2019-07-08,Gucci,29
2019-07-08,Dior,19
2019-07-08,Rolex,89
2019-07-08,Louis Vuitton,94
2019-07-08,Chanel,46
2019-07-09,Gucci,62
2019-07-09,Dior,95
2019-07-09,Rolex,40
2019-07-09,Louis Vuitton,34
2019-07-09,Chanel,14
2019-07-10,Gucci,33
2019-07-10,Dior,77
2019-07-10,Rolex,30
2019-07-10,Louis Vuitton,44
2019-07-10,Chanel,54
2019-07-11,Gucci,64
2019-07-11,Dior,13
