Year,Brand,Category,Region,Price (USD),Sales Volume,Revenue (USD),Customer Age Group,Customer Gender,Net Worth (USD),GDP per Capita,Inflation Rate (%),Income Level,Social Media Likes,Social Media Shares,Social Media Mentions,Sentiment Score
2023,Chanel,Clothing,Asia,2838.28,60,170296.8,55+,Female,48970.31,15000,4.0,Medium,32074,2047,2647,0.64
2022,Gucci,Bags,Asia,1752.48,394,690477.12,18-24,Female,2424723.78,15000,4.0,Medium,47976,4434,1984,0.97
2023,Chanel,Shoes,Australia,1930.4,329,635101.6,35-44,Male,1095926.03,55000,2.0,High,19845,3489,1706,0.8
2023,Chanel,Bags,Australia,3120.6,446,1391787.6,55+,Non-binary,4885430.25,55000,2.0,High,27493,2738,2802,0.99
2020,Rolex,Bags,South America,3726.0,477,1777302.0,18-24,Male,2746752.38,12000,5.5,Medium,8336,3914,1364,0.9
2020,Chanel,Watches,Asia,24481.68,15,367225.2,45-54,Female,475501.93,15000,4.0,Medium,49558,2334,160,0.94
2023,Dior,Bags,Asia,2400.02,336,806406.72,25-34,Male,2663357.32,15000,4.0,Medium,26182,4611,1646,0.91
2018,Gucci,Accessories,Asia,1379.76,485,669183.6,35-44,Female,2270540.43,15000,4.0,Medium,30719,2604,1959,0.57
2021,Louis Vuitton,Accessories,North America,597.9,474,283404.6,25-34,Male,3962164.18,65000,3.5,High,2759,3831,520,0.98
2021,Dior,Bags,Asia,3778.29,376,1420637.04,25-34,Male,4747753.98,15000,4.0,Medium,29884,2035,2636,0.84
2020,Rolex,Perfumes,North America,252.66,410,103590.6,25-34,Non-binary,4110548.29,65000,3.5,High,9675,2549,240,0.91
2019,Chanel,Clothing,Middle East,864.42,64,55322.88,55+,Male,4740858.49,30000,3.0,High,49624,100,2472,0.88
2020,Gucci,Watches,Australia,24720.12,37,914644.44,45-54,Male,4327009.1,55000,2.0,High,30363,2960,1917,0.91
2022,Chanel,Watches,Asia,17342.01,45,780390.45,18-24,Non-binary,4790168.05,15000,4.0,Medium,7729,3921,511,0.78
2023,Gucci,Watches,Australia,24798.4,34,843145.6,25-34,Male,12103.85,55000,2.0,High,28604,1872,1843,0.66
2021,Gucci,Clothing,North America,2439.18,433,1056164.94,18-24,Female,2094284.89,65000,3.5,High,16590,2922,2053,0.79
2019,Louis Vuitton,Accessories,Asia,1562.42,249,389042.58,55+,Male,125849.29,15000,4.0,Medium,18907,1889,1783,0.8
2023,Louis Vuitton,Shoes,Europe,869.46,476,413862.96,25-34,Male,4392296.68,45000,2.5,High,10292,4279,2378,0.98
2023,Rolex,Accessories,North America,1565.74,275,430578.5,25-34,Female,26692.84,65000,3.5,High,28011,1548,2791,0.94
2022,Louis Vuitton,Accessories,South America,1232.21,471,580370.91,55+,Male,905482.97,12000,5.5,Medium,8115,4024,1801,0.89
2020,Gucci,Bags,Europe,3998.97,462,1847524.14,35-44,Non-binary,1841619.87,45000,2.5,High,31608,1270,416,0.59
2018,Gucci,Clothing,Middle East,2530.37,181,457996.97,35-44,Female,2039706.73,30000,3.0,High,17437,686,2084,0.96
2022,Gucci,Perfumes,North America,314.57,267,83990.19,45-54,Female,23680.28,65000,3.5,High,39829,748,791,0.55
2021,Dior,Shoes,South America,1208.36,339,409634.04,45-54,Non-binary,2991153.29,12000,5.5,Medium,10930,1640,1839,0.71
2018,Chanel,Shoes,Australia,2201.23,253,556911.19,25-34,Male,44891.16,55000,2.0,High,7186,4590,2417,0.71
2021,Louis Vuitton,Accessories,Middle East,1410.62,177,249679.74,55+,Female,1381537.46,30000,3.0,High,18740,4060,1876,0.85
2020,Rolex,Accessories,Australia,1731.38,328,567892.64,25-34,Male,16754.44,55000,2.0,High,38172,1708,2134,0.59
2018,Louis Vuitton,Shoes,Australia,999.12,415,414634.8,25-34,Non-binary,34238.2,55000,2.0,High,29276,2916,2419,0.5
2022,Gucci,Watches,Australia,5193.74,40,207749.6,35-44,Female,4591507.57,55000,2.0,High,40139,1569,2704,0.99
2023,Rolex,Bags,Europe,3191.6,378,1206424.8,25-34,Non-binary,3733735.14,45000,2.5,High,34741,1376,2886,0.89
2020,Rolex,Bags,North America,3762.38,477,1794655.26,35-44,Male,686394.15,65000,3.5,High,44621,1730,400,0.67
2019,Chanel,Clothing,Europe,821.04,61,50083.44,18-24,Non-binary,188538.48,45000,2.5,High,4379,4759,885,0.52
2018,Dior,Accessories,Europe,1474.29,285,420172.65,25-34,Non-binary,3818571.97,45000,2.5,High,6656,3513,2508,0.79
2021,Dior,Bags,Australia,1538.1,161,247634.1,55+,Female,1064606.83,55000,2.0,High,8581,895,1135,0.72
2019,Chanel,Shoes,North America,2087.11,218,454989.98,25-34,Male,4775630.52,65000,3.5,High,37243,548,2174,0.84
2018,Louis Vuitton,Bags,Middle East,2164.97,378,818358.66,55+,Male,46705.89,30000,3.0,High,10763,2845,1169,0.84
2021,Dior,Accessories,Asia,340.36,374,127294.64,35-44,Female,3262514.93,15000,4.0,Medium,9743,4586,172,0.93
2019,Chanel,Watches,North America,20560.94,34,699071.96,45-54,Male,484015.89,65000,3.5,High,35397,807,1692,0.59
2018,Dior,Bags,Middle East,1579.02,355,560552.1,25-34,Non-binary,27351.67,30000,3.0,High,49265,1234,2145,0.58
2023,Dior,Bags,Asia,1646.18,73,120171.14,35-44,Non-binary,15395.38,15000,4.0,Medium,18771,2658,2016,0.77
2018,Rolex,Clothing,South America,560.08,235,131618.8,25-34,Female,830352.07,12000,5.5,Medium,31180,1410,244,0.68
2018,Louis Vuitton,Clothing,Europe,2073.1,194,402181.4,25-34,Female,1504738.17,45000,2.5,High,8286,1283,587,0.76
2022,Rolex,Bags,Australia,4955.33,295,1461822.35,35-44,Female,4478517.63,55000,2.0,High,27615,262,2278,0.96
2022,Gucci,Perfumes,Australia,482.05,297,143168.85,18-24,Female,20629.84,55000,2.0,High,18757,4987,2442,0.61
2021,Rolex,Perfumes,South America,299.27,413,123598.51,35-44,Male,39362.39,12000,5.5,Medium,22099,2951,799,0.72
2023,Louis Vuitton,Perfumes,Middle East,288.73,344,99323.12,55+,Non-binary,3798478.48,30000,3.0,High,38588,4749,685,0.64
2018,Chanel,Clothing,Asia,2264.46,474,1073354.04,35-44,Female,4010308.82,15000,4.0,Medium,26614,1071,2353,0.51
2020,Chanel,Bags,South America,4805.05,56,269082.8,25-34,Female,1124781.44,12000,5.5,Medium,49303,1748,1135,0.56
2023,Louis Vuitton,Watches,Australia,13083.67,49,641099.83,25-34,Non-binary,27559.58,55000,2.0,High,9020,4729,2021,0.52
2019,Rolex,Accessories,North America,626.02,378,236635.56,55+,Male,4134669.13,65000,3.5,High,42320,3767,2377,0.81
2021,Rolex,Shoes,Middle East,2923.53,446,1303894.38,25-34,Male,5134.06,30000,3.0,High,45191,3262,143,0.78
2019,Gucci,Perfumes,South America,386.76,301,116414.76,55+,Male,3409438.55,12000,5.5,Medium,48880,2178,1620,0.82
2021,Rolex,Perfumes,South America,225.24,310,69824.4,45-54,Non-binary,630813.12,12000,5.5,Medium,2931,1229,1348,0.98
2021,Chanel,Clothing,North America,1550.73,378,586175.94,25-34,Female,2313604.48,65000,3.5,High,14433,2162,405,0.6
2023,Gucci,Accessories,South America,1518.18,334,507072.12,25-34,Male,4186938.0,12000,5.5,Medium,48286,1494,1341,0.66
2023,Louis Vuitton,Perfumes,Europe,217.46,260,56539.6,35-44,Female,3888125.19,45000,2.5,High,19370,3624,1467,0.75
2023,Rolex,Accessories,North America,1893.63,450,852133.5,55+,Male,4879642.19,65000,3.5,High,41446,2495,1404,0.61
2019,Rolex,Perfumes,Europe,239.85,353,84667.05,35-44,Female,2679815.94,45000,2.5,High,45219,4833,297,0.97
2019,Dior,Bags,Asia,1756.52,298,523442.96,45-54,Male,4468860.15,15000,4.0,Medium,13718,4421,428,0.96
2019,Louis Vuitton,Watches,South America,10720.59,23,246573.57,55+,Male,14707.78,12000,5.5,Medium,29746,1385,1979,0.77
2019,Gucci,Perfumes,Asia,301.01,345,103848.45,18-24,Non-binary,2451882.3,15000,4.0,Medium,20950,2069,2295,0.65
2022,Louis Vuitton,Clothing,Asia,1819.17,309,562123.53,55+,Non-binary,102002.18,15000,4.0,Medium,42158,3909,1144,0.74
2022,Chanel,Clothing,Australia,2123.45,153,324887.85,18-24,Male,2039872.19,55000,2.0,High,2777,4036,401,0.87
2023,Chanel,Bags,North America,4135.57,327,1352331.39,35-44,Non-binary,3409677.74,65000,3.5,High,19040,1584,382,0.94
2022,Chanel,Accessories,Middle East,1493.63,127,189691.01,45-54,Female,4637028.39,30000,3.0,High,16197,2130,432,0.59
2023,Louis Vuitton,Watches,Middle East,19622.08,21,412063.68,25-34,Male,2495541.09,30000,3.0,High,42410,4223,1872,0.57
2019,Chanel,Perfumes,Asia,295.32,126,37210.32,18-24,Female,37372.12,15000,4.0,Medium,46837,4035,2402,0.59
2018,Rolex,Shoes,South America,2044.23,498,1018026.54,55+,Female,44484.83,12000,5.5,Medium,33637,120,2405,0.7
2021,Gucci,Bags,South America,2077.25,458,951380.5,18-24,Male,2273416.68,12000,5.5,Medium,48672,3581,2845,0.64
2021,Gucci,Accessories,Australia,1834.06,230,421833.8,55+,Female,138466.8,55000,2.0,High,43230,2400,1642,0.65
2020,Chanel,Shoes,South America,1079.32,147,158660.04,45-54,Female,3903755.6,12000,5.5,Medium,46202,484,860,0.77
2019,Rolex,Shoes,South America,2376.6,214,508592.4,35-44,Female,334041.16,12000,5.5,Medium,23046,2378,172,0.55
2019,Dior,Perfumes,Middle East,334.5,264,88308.0,18-24,Male,2670042.86,30000,3.0,High,35363,349,776,0.83
2018,Gucci,Clothing,South America,2462.06,279,686914.74,55+,Male,2602212.78,12000,5.5,Medium,38070,467,824,0.97
2018,Rolex,Clothing,Asia,2557.15,127,324758.05,25-34,Male,36209.87,15000,4.0,Medium,31545,1292,2526,0.53
2020,Louis Vuitton,Bags,South America,4651.07,443,2060424.01,18-24,Non-binary,1659464.64,12000,5.5,Medium,15525,957,700,0.95
2021,Rolex,Accessories,Europe,1482.91,221,327723.11,45-54,Non-binary,17368.41,45000,2.5,High,48384,4277,2532,0.74
2022,Chanel,Clothing,Asia,1481.65,221,327444.65,55+,Female,1353000.41,15000,4.0,Medium,19658,2488,1381,0.73
2018,Chanel,Perfumes,Middle East,260.65,440,114686.0,45-54,Non-binary,721433.07,30000,3.0,High,9347,1654,698,0.58
2020,Gucci,Perfumes,South America,462.49,459,212282.91,55+,Male,3183290.4,12000,5.5,Medium,4566,1077,2128,0.73
2019,Rolex,Clothing,South America,1484.48,142,210796.16,55+,Female,6925.42,12000,5.5,Medium,35918,4222,515,0.75
2018,Chanel,Accessories,Europe,401.48,454,182271.92,18-24,Non-binary,1092955.53,45000,2.5,High,33678,2342,846,0.96
2021,Louis Vuitton,Accessories,Middle East,346.42,349,120900.58,18-24,Female,32920.68,30000,3.0,High,15258,3602,511,0.55
2019,Chanel,Clothing,Asia,1944.76,354,688445.04,25-34,Non-binary,23115.24,15000,4.0,Medium,4865,1281,1156,0.67
2023,Louis Vuitton,Bags,Australia,3662.23,350,1281780.5,25-34,Non-binary,1466280.5,55000,2.0,High,37683,2630,2451,0.78
2019,Gucci,Accessories,South America,1581.21,344,543936.24,18-24,Non-binary,1051191.72,12000,5.5,Medium,19046,3414,888,0.79
2018,Dior,Perfumes,Asia,148.99,499,74346.01,35-44,Male,1866948.21,15000,4.0,Medium,40549,267,1598,0.94
2020,Chanel,Bags,South America,4898.52,152,744575.04,25-34,Female,44244.89,12000,5.5,Medium,45611,901,1220,0.55
2021,Louis Vuitton,Clothing,South America,2217.87,122,270580.14,25-34,Non-binary,1281679.9,12000,5.5,Medium,39403,959,448,0.68
2023,Louis Vuitton,Shoes,Middle East,2950.92,460,1357423.2,45-54,Non-binary,3486241.62,30000,3.0,High,30591,1646,586,0.51
2019,Gucci,Shoes,Middle East,2245.99,426,956791.74,45-54,Non-binary,3778503.05,30000,3.0,High,30869,2243,2479,0.88
2022,Rolex,Watches,Australia,17737.26,11,195109.86,25-34,Male,1122876.22,55000,2.0,High,21850,3530,897,0.94
2019,Dior,Watches,North America,12882.25,27,347820.75,45-54,Female,7396.0,65000,3.5,High,2900,281,1557,0.54
2021,Rolex,Accessories,South America,1691.3,98,165747.4,35-44,Male,106477.23,12000,5.5,Medium,22286,1620,166,0.6
2022,Dior,Watches,Australia,5694.07,36,204986.52,18-24,Female,1158966.51,55000,2.0,High,4122,2800,1701,0.86
2021,Gucci,Perfumes,Australia,184.1,113,20803.3,55+,Female,2702009.1,55000,2.0,High,47804,4667,1556,0.76
2023,Gucci,Perfumes,Asia,318.6,409,130307.4,18-24,Female,3709776.27,15000,4.0,Medium,24566,1242,1705,0.56
2023,Chanel,Watches,South America,10420.45,15,156306.75,25-34,Male,1422989.72,12000,5.5,Medium,49490,1295,2083,0.67
2023,Chanel,Shoes,North America,2674.41,86,229999.26,18-24,Female,4879989.25,65000,3.5,High,13531,2509,1581,0.68
2020,Dior,Watches,South America,22211.8,5,111059.0,55+,Female,2029299.72,12000,5.5,Medium,18407,3796,390,0.5
2021,Louis Vuitton,Shoes,Middle East,1770.06,192,339851.52,35-44,Non-binary,868793.16,30000,3.0,High,32428,1583,2180,0.67
2018,Gucci,Watches,Asia,23940.08,26,622442.08,45-54,Non-binary,3559761.65,15000,4.0,Medium,18877,4790,2202,0.5
2023,Gucci,Shoes,South America,2889.71,83,239845.93,45-54,Non-binary,854147.07,12000,5.5,Medium,31755,2854,2483,0.67
2019,Rolex,Shoes,Asia,2077.57,444,922441.08,35-44,Non-binary,33251.33,15000,4.0,Medium,33724,1170,1513,0.59
2020,Gucci,Perfumes,Middle East,113.69,467,53093.23,45-54,Female,2833434.7,30000,3.0,High,12979,4381,2351,0.71
2019,Gucci,Clothing,South America,619.14,366,226605.24,25-34,Non-binary,1694250.88,12000,5.5,Medium,10967,1054,2433,0.58
2019,Gucci,Perfumes,South America,309.49,212,65611.88,18-24,Non-binary,3572616.77,12000,5.5,Medium,41945,3792,1037,0.86
2020,Rolex,Watches,Australia,16567.69,23,381056.87,18-24,Female,2919388.51,55000,2.0,High,10407,996,981,0.61
2022,Louis Vuitton,Accessories,South America,962.63,129,124179.27,18-24,Female,1033766.19,12000,5.5,Medium,24124,3474,2403,0.75
2020,Chanel,Shoes,Asia,2120.49,420,890605.8,55+,Non-binary,3902188.67,15000,4.0,Medium,12473,4973,1675,0.94
2023,Louis Vuitton,Clothing,Australia,1551.77,290,450013.3,55+,Female,4644453.74,55000,2.0,High,2451,1687,2628,0.6
2022,Gucci,Watches,North America,22155.62,23,509579.26,35-44,Female,10123.53,65000,3.5,High,43804,4427,299,0.81
2022,Gucci,Perfumes,Europe,147.62,95,14023.9,35-44,Male,3120917.57,45000,2.5,High,40333,1060,2934,0.62
2020,Louis Vuitton,Accessories,South America,1784.98,345,615818.1,55+,Non-binary,4152213.95,12000,5.5,Medium,20458,1285,229,0.98
2018,Gucci,Watches,Australia,10985.26,5,54926.3,45-54,Female,3671766.38,55000,2.0,High,15521,2057,62,0.88
2019,Rolex,Clothing,Asia,1742.67,250,435667.5,35-44,Non-binary,36971.36,15000,4.0,Medium,32991,117,1246,0.96
2023,Dior,Perfumes,Asia,157.88,103,16261.64,25-34,Non-binary,4198008.14,15000,4.0,Medium,14228,2996,916,0.86
2019,Dior,Perfumes,North America,299.63,197,59027.11,25-34,Female,1301208.98,65000,3.5,High,27112,3745,1221,0.66
2021,Louis Vuitton,Watches,North America,23084.19,44,1015704.36,35-44,Non-binary,3124545.7,65000,3.5,High,33661,1113,1878,0.51
2020,Dior,Accessories,Middle East,488.45,96,46891.2,18-24,Female,3373008.45,30000,3.0,High,29286,3142,460,0.57
2021,Dior,Bags,Europe,2021.51,426,861163.26,35-44,Male,4826332.9,45000,2.5,High,25456,1718,1846,0.51
2018,Rolex,Bags,Australia,3378.91,173,584551.43,55+,Male,4772961.19,55000,2.0,High,13117,2704,2326,0.74
2018,Chanel,Bags,North America,2088.54,480,1002499.2,18-24,Male,11447.42,65000,3.5,High,47009,589,1759,0.85
2021,Chanel,Bags,Middle East,4130.18,135,557574.3,35-44,Female,942682.06,30000,3.0,High,40485,3113,1579,0.76
2022,Chanel,Perfumes,South America,442.68,128,56663.04,18-24,Male,2212921.62,12000,5.5,Medium,28542,2479,2189,0.8
2022,Louis Vuitton,Perfumes,Asia,234.52,411,96387.72,25-34,Female,6846.66,15000,4.0,Medium,47638,3355,1199,0.9
2018,Gucci,Perfumes,Middle East,204.58,354,72421.32,45-54,Male,913717.28,30000,3.0,High,20295,2537,1853,0.55
2021,Louis Vuitton,Shoes,Asia,2534.03,73,184984.19,45-54,Non-binary,1445196.25,15000,4.0,Medium,44546,1158,1125,0.85
2021,Rolex,Watches,Middle East,16665.54,42,699952.68,45-54,Non-binary,4023385.42,30000,3.0,High,8781,1911,1751,0.86
2021,Rolex,Watches,Australia,17434.75,20,348695.0,55+,Male,4192111.21,55000,2.0,High,4087,3147,1016,0.63
2019,Chanel,Bags,North America,1570.45,294,461712.3,45-54,Male,2817773.51,65000,3.5,High,16704,3115,2887,0.71
2019,Chanel,Bags,Middle East,2413.71,428,1033067.88,55+,Non-binary,3298135.46,30000,3.0,High,9950,1189,1046,0.64
2020,Gucci,Accessories,Australia,1095.12,57,62421.84,25-34,Female,271599.87,55000,2.0,High,42528,1106,456,0.75
2021,Louis Vuitton,Watches,Australia,14585.01,18,262530.18,18-24,Female,33881.85,55000,2.0,High,5905,4673,1693,0.86
2021,Rolex,Perfumes,Middle East,408.3,94,38380.2,55+,Non-binary,4285756.94,30000,3.0,High,35285,4477,563,0.79
2023,Louis Vuitton,Watches,North America,9418.97,14,131865.58,25-34,Non-binary,1817889.68,65000,3.5,High,23843,2966,1747,0.67
2018,Dior,Accessories,Asia,1097.7,164,180022.8,45-54,Female,1934584.59,15000,4.0,Medium,3174,3440,1571,0.59
2018,Gucci,Accessories,Australia,1762.61,279,491768.19,25-34,Female,4154544.55,55000,2.0,High,19396,2028,439,0.8
2019,Dior,Perfumes,North America,416.47,113,47061.11,18-24,Female,4658770.59,65000,3.5,High,31747,3691,499,0.72
2018,Chanel,Bags,North America,3676.35,194,713211.9,55+,Male,2357399.73,65000,3.5,High,45616,3140,1250,0.59
2019,Gucci,Accessories,Europe,507.17,154,78104.18,45-54,Female,4444683.56,45000,2.5,High,46990,1686,2898,0.97
2018,Chanel,Clothing,Australia,1423.64,137,195038.68,35-44,Female,1795295.05,55000,2.0,High,37249,1028,1029,0.96
2023,Dior,Clothing,Middle East,2067.73,343,709231.39,35-44,Female,1817721.18,30000,3.0,High,40455,2777,2110,0.68
2023,Dior,Watches,Middle East,17317.67,21,363671.07,35-44,Male,27219.01,30000,3.0,High,11994,1344,684,0.87
2018,Dior,Shoes,Middle East,2269.27,111,251888.97,45-54,Female,4685096.03,30000,3.0,High,42900,1881,2626,0.79
2022,Dior,Shoes,North America,945.42,446,421657.32,35-44,Male,184011.62,65000,3.5,High,48538,2280,129,0.75
2018,Louis Vuitton,Accessories,Europe,1623.5,69,112021.5,18-24,Non-binary,4593208.43,45000,2.5,High,6839,4429,1642,0.58
2019,Louis Vuitton,Clothing,Europe,675.68,264,178379.52,35-44,Male,38238.55,45000,2.5,High,4093,196,1050,0.65
2022,Gucci,Clothing,Australia,2294.19,105,240889.95,55+,Male,10028.16,55000,2.0,High,44642,1829,2918,0.51
2021,Louis Vuitton,Perfumes,Asia,313.17,189,59189.13,35-44,Non-binary,18603.27,15000,4.0,Medium,23639,1122,1296,0.96
2019,Chanel,Watches,South America,9541.83,14,133585.62,25-34,Non-binary,2656769.45,12000,5.5,Medium,19026,2905,1707,0.72
2019,Gucci,Clothing,Middle East,2527.18,129,326006.22,45-54,Non-binary,805001.19,30000,3.0,High,15259,4322,278,0.65
2022,Chanel,Perfumes,North America,205.03,286,58638.58,45-54,Female,3101870.92,65000,3.5,High,45582,4551,185,0.52
2023,Chanel,Bags,Asia,3150.11,423,1332496.53,45-54,Non-binary,1994322.3,15000,4.0,Medium,37217,3515,1527,0.7
2023,Dior,Accessories,Europe,616.75,350,215862.5,25-34,Non-binary,3031831.18,45000,2.5,High,28001,451,2017,0.5
2020,Louis Vuitton,Accessories,South America,801.24,88,70509.12,18-24,Non-binary,229797.29,12000,5.5,Medium,42911,3601,1146,0.89
2019,Louis Vuitton,Bags,Australia,2319.33,208,482420.64,35-44,Female,4725298.55,55000,2.0,High,44282,4999,889,0.87
2022,Chanel,Bags,Middle East,2900.83,275,797728.25,25-34,Female,31011.4,30000,3.0,High,1288,4777,2964,0.76
2019,Chanel,Shoes,Asia,1388.26,81,112449.06,35-44,Male,2984601.43,15000,4.0,Medium,14811,226,1440,0.74
2022,Gucci,Shoes,Middle East,2070.88,269,557066.72,18-24,Female,4764521.25,30000,3.0,High,46685,1202,2418,0.85
2022,Chanel,Watches,Europe,24678.36,6,148070.16,18-24,Male,2637871.5,45000,2.5,High,1122,1387,1722,0.64
2023,Louis Vuitton,Clothing,Europe,795.37,101,80332.37,55+,Male,502705.79,45000,2.5,High,43797,845,970,0.72
2020,Gucci,Accessories,South America,1168.0,314,366752.0,18-24,Male,12639.76,12000,5.5,Medium,15800,2058,935,0.56
2022,Gucci,Accessories,South America,1993.09,240,478341.6,25-34,Female,3058390.03,12000,5.5,Medium,36313,1964,2414,0.63
2020,Dior,Shoes,South America,2101.11,425,892971.75,18-24,Male,678361.11,12000,5.5,Medium,1598,4175,1896,0.7
2018,Louis Vuitton,Watches,Australia,14886.93,46,684798.78,55+,Male,26576.17,55000,2.0,High,21402,4444,791,0.97
2021,Louis Vuitton,Shoes,Europe,1223.07,269,329005.83,35-44,Female,2848916.46,45000,2.5,High,10952,2884,2485,0.65
2018,Dior,Watches,Australia,21897.2,47,1029168.4,25-34,Male,4561915.03,55000,2.0,High,38851,3602,458,0.61
2021,Gucci,Bags,South America,3967.71,257,1019701.47,45-54,Female,48583.98,12000,5.5,Medium,24486,1562,1788,0.64
